시도군구,시도_x,군구_x,count,시도_y,군구_y,총인구수 (명),남자인구수 (명),여자인구수 (명)
강원도 강릉시,강원도,강릉시,4,강원도,강릉시,209625,103887,105738
강원도 동해시,강원도,동해시,1,강원도,동해시,88712,45070,43642
강원도 삼척시,강원도,삼척시,1,강원도,삼척시,62819,31903,30916
강원도 속초시,강원도,속초시,1,강원도,속초시,82092,40630,41462
강원도 양구군,강원도,양구군,1,강원도,양구군,21139,11093,10046
강원도 영월군,강원도,영월군,1,강원도,영월군,37346,19338,18008
강원도 원주시,강원도,원주시,2,강원도,원주시,361469,179162,182307
강원도 정선군,강원도,정선군,2,강원도,정선군,34276,17883,16393
강원도 춘천시,강원도,춘천시,5,강원도,춘천시,286558,141474,145084
강원도 태백시,강원도,태백시,1,강원도,태백시,38708,19474,19234
강원도 홍천군,강원도,홍천군,1,강원도,홍천군,67294,34629,32665
경기도 가평군,경기도,가평군,1,경기도,가평군,62131,32039,30092
경기도 고양시,경기도,고양시,4,경기도,고양시,1075089,524514,550575
경기도 남양주시,경기도,남양주시,5,경기도,남양주시,732086,363169,368917
경기도 동두천시,경기도,동두천시,1,경기도,동두천시,88787,44272,44515
경기도 부천시,경기도,부천시,1,경기도,부천시,781119,386234,394885
경기도 성남시,경기도,성남시,2,경기도,성남시,918771,454661,464110
경기도 수원시,경기도,수원시,1,경기도,수원시,1197241,602392,594849
경기도 시흥시,경기도,시흥시,1,경기도,시흥시,519594,271211,248383
경기도 안산시,경기도,안산시,2,경기도,안산시,630651,322974,307677
경기도 안성시,경기도,안성시,1,경기도,안성시,189143,97772,91371
경기도 양주시,경기도,양주시,1,경기도,양주시,266446,134607,131839
경기도 양평군,경기도,양평군,1,경기도,양평군,125121,62791,62330
경기도 여주시,경기도,여주시,1,경기도,여주시,114343,58141,56202
경기도 용인시,경기도,용인시,4,경기도,용인시,1075474,533395,542079
경기도 의정부시,경기도,의정부시,1,경기도,의정부시,464644,228378,236266
경기도 이천시,경기도,이천시,1,경기도,이천시,222652,115907,106745
경기도 파주시,경기도,파주시,1,경기도,파주시,497775,252211,245564
경기도 평택시,경기도,평택시,1,경기도,평택시,590185,310022,280163
경기도 포천시,경기도,포천시,2,경기도,포천시,143510,75951,67559
경기도 화성시,경기도,화성시,1,경기도,화성시,941489,489028,452461
경상남도 거창군,경상남도,거창군,2,경상남도,거창군,60135,29606,30529
경상남도 김해시,경상남도,김해시,1,경상남도,김해시,533565,269752,263813
경상남도 남해군,경상남도,남해군,1,경상남도,남해군,40850,19905,20945
경상남도 사천시,경상남도,사천시,2,경상남도,사천시,109008,55124,53884
경상남도 양산시,경상남도,양산시,4,경상남도,양산시,355270,177661,177609
경상남도 의령군,경상남도,의령군,1,경상남도,의령군,25526,12691,12835
경상남도 진주시,경상남도,진주시,1,경상남도,진주시,341545,168617,172928
경상남도 창녕군,경상남도,창녕군,1,경상남도,창녕군,57180,28562,28618
경상남도 창원시,경상남도,창원시,7,경상남도,창원시,1009998,511118,498880
경상남도 통영시,경상남도,통영시,2,경상남도,통영시,120737,60601,60136
경상북도 경산시,경상북도,경산시,2,경상북도,경산시,266528,134038,132490
경상북도 경주시,경상북도,경주시,1,경상북도,경주시,247762,124094,123668
경상북도 고령군,경상북도,고령군,1,경상북도,고령군,30184,15516,14668
경상북도 구미시,경상북도,구미시,1,경상북도,구미시,405455,209098,196357
경상북도 김천시,경상북도,김천시,2,경상북도,김천시,137837,69238,68599
경상북도 문경시,경상북도,문경시,1,경상북도,문경시,68914,33856,35058
경상북도 봉화군,경상북도,봉화군,1,경상북도,봉화군,29674,15108,14566
경상북도 상주시,경상북도,상주시,2,경상북도,상주시,93896,46216,47680
경상북도 안동시,경상북도,안동시,2,경상북도,안동시,153121,75634,77487
경상북도 영주시,경상북도,영주시,1,경상북도,영주시,100216,49756,50460
경상북도 울릉군,경상북도,울릉군,1,경상북도,울릉군,9071,5025,4046
경상북도 울진군,경상북도,울진군,2,경상북도,울진군,46661,23545,23116
경상북도 의성군,경상북도,의성군,1,경상북도,의성군,50088,24804,25284
경상북도 청도군,경상북도,청도군,1,경상북도,청도군,41361,20505,20856
경상북도 칠곡군,경상북도,칠곡군,1,경상북도,칠곡군,110881,58113,52768
경상북도 포항시,경상북도,포항시,3,경상북도,포항시,492936,250087,242849
광주광역시 광산구,광주광역시,광산구,3,광주광역시,광산구,397164,200317,196847
광주광역시 남구,광주광역시,남구,2,광주광역시,남구,209979,100547,109432
광주광역시 동구,광주광역시,동구,1,광주광역시,동구,107165,52785,54380
광주광역시 북구,광주광역시,북구,2,광주광역시,북구,422159,208847,213312
대구광역시 달서구,대구광역시,달서구,1,대구광역시,달서구,529085,259642,269443
대구광역시 달성군,대구광역시,달성군,1,대구광역시,달성군,262243,133033,129210
대구광역시 북구,대구광역시,북구,2,대구광역시,북구,420972,208881,212091
대구광역시 서구,대구광역시,서구,2,대구광역시,서구,163028,80972,82056
대구광역시 수성구,대구광역시,수성구,1,대구광역시,수성구,407004,196133,210871
대구광역시 중구,대구광역시,중구,2,대구광역시,중구,87998,42109,45889
대전광역시 대덕구,대전광역시,대덕구,2,대전광역시,대덕구,170086,86408,83678
대전광역시 동구,대전광역시,동구,1,대전광역시,동구,218037,109801,108236
대전광역시 유성구,대전광역시,유성구,7,대전광역시,유성구,366294,185521,180773
대전광역시 중구,대전광역시,중구,1,대전광역시,중구,223506,109728,113778
부산광역시 기장군,부산광역시,기장군,1,부산광역시,기장군,178958,88623,90335
부산광역시 북구,부산광역시,북구,1,부산광역시,북구,274072,134837,139235
부산광역시 사상구,부산광역시,사상구,2,부산광역시,사상구,203139,101926,101213
부산광역시 서구,부산광역시,서구,1,부산광역시,서구,104192,50077,54115
부산광역시 연제구,부산광역시,연제구,2,부산광역시,연제구,203008,96997,106011
부산광역시 해운대구,부산광역시,해운대구,2,부산광역시,해운대구,381031,182594,198437
서울특별시 강남구,서울특별시,강남구,2,서울특별시,강남구,541130,258700,282430
서울특별시 강동구,서울특별시,강동구,1,서울특별시,강동구,458824,224240,234584
서울특별시 강북구,서울특별시,강북구,1,서울특별시,강북구,288735,139850,148885
서울특별시 광진구,서울특별시,광진구,1,서울특별시,광진구,335854,161430,174424
서울특별시 노원구,서울특별시,노원구,1,서울특별시,노원구,498976,239508,259468
서울특별시 동대문구,서울특별시,동대문구,1,서울특별시,동대문구,341510,167556,173954
서울특별시 동작구,서울특별시,동작구,1,서울특별시,동작구,379186,183420,195766
서울특별시 서초구,서울특별시,서초구,1,서울특별시,서초구,408098,194526,213572
서울특별시 성동구,서울특별시,성동구,1,서울특별시,성동구,277701,134760,142941
서울특별시 송파구,서울특별시,송파구,1,서울특별시,송파구,654845,314665,340180
서울특별시 양천구,서울특별시,양천구,1,서울특별시,양천구,436475,213092,223383
서울특별시 은평구,서울특별시,은평구,2,서울특별시,은평구,466968,221801,245167
서울특별시 종로구,서울특별시,종로구,4,서울특별시,종로구,139497,67393,72104
서울특별시 중구,서울특별시,중구,1,서울특별시,중구,121230,58631,62599
서울특별시 중랑구,서울특별시,중랑구,2,서울특별시,중랑구,381858,187262,194596
울산광역시 울주군,울산광역시,울주군,1,울산광역시,울주군,219234,113489,105745
인천광역시 계양구,인천광역시,계양구,1,인천광역시,계양구,281063,139907,141156
인천광역시 동구,인천광역시,동구,1,인천광역시,동구,59695,29920,29775
인천광역시 부평구,인천광역시,부평구,1,인천광역시,부평구,490899,241706,249193
인천광역시 서구,인천광역시,서구,1,인천광역시,서구,623256,314024,309232
인천광역시 연수구,인천광역시,연수구,2,인천광역시,연수구,391934,194367,197567
인천광역시 옹진군,인천광역시,옹진군,1,인천광역시,옹진군,20438,11686,8752
전라남도 강진군,전라남도,강진군,1,전라남도,강진군,32737,15946,16791
전라남도 고흥군,전라남도,고흥군,2,전라남도,고흥군,61169,29912,31257
전라남도 곡성군,전라남도,곡성군,1,전라남도,곡성군,26920,13376,13544
전라남도 광양시,전라남도,광양시,1,전라남도,광양시,152452,79761,72691
전라남도 나주시,전라남도,나주시,1,전라남도,나주시,117238,59168,58070
전라남도 목포시,전라남도,목포시,2,전라남도,목포시,214294,106535,107759
전라남도 무안군,전라남도,무안군,1,전라남도,무안군,90370,45469,44901
전라남도 보성군,전라남도,보성군,1,전라남도,보성군,37749,18500,19249
전라남도 순천시,전라남도,순천시,2,전라남도,순천시,278259,138844,139415
전라남도 신안군,전라남도,신안군,1,전라남도,신안군,38043,20485,17558
전라남도 여수시,전라남도,여수시,1,전라남도,여수시,271949,138483,133466
전라남도 영광군,전라남도,영광군,1,전라남도,영광군,51840,25921,25919
전라남도 장성군,전라남도,장성군,1,전라남도,장성군,42477,21864,20613
전라남도 진도군,전라남도,진도군,1,전라남도,진도군,28991,14453,14538
전라남도 함평군,전라남도,함평군,2,전라남도,함평군,30610,15494,15116
전라남도 화순군,전라남도,화순군,2,전라남도,화순군,61331,30357,30974
전라북도 고창군,전라북도,고창군,1,전라북도,고창군,51754,25806,25948
전라북도 군산시,전라북도,군산시,1,전라북도,군산시,260330,131898,128432
전라북도 남원시,전라북도,남원시,2,전라북도,남원시,76884,37712,39172
전라북도 부안군,전라북도,부안군,1,전라북도,부안군,49255,24531,24724
전라북도 완주군,전라북도,완주군,2,전라북도,완주군,97605,50123,47482
전라북도 전주시,전라북도,전주시,3,전라북도,전주시,643431,316047,327384
전라북도 정읍시,전라북도,정읍시,1,전라북도,정읍시,103632,51630,52002
전라북도 진안군,전라북도,진안군,1,전라북도,진안군,24473,12502,11971
제주특별자치도 서귀포시,제주특별자치도,서귀포시,2,제주특별자치도,서귀포시,183858,92502,91356
제주특별자치도 제주시,제주특별자치도,제주시,3,제주특별자치도,제주시,491987,245763,246224
충청남도 계룡시,충청남도,계룡시,1,충청남도,계룡시,46632,23235,23397
충청남도 공주시,충청남도,공주시,3,충청남도,공주시,102184,50946,51238
충청남도 논산시,충청남도,논산시,2,충청남도,논산시,110704,55337,55367
충청남도 보령시,충청남도,보령시,1,충청남도,보령시,95925,48578,47347
충청남도 서산시,충청남도,서산시,2,충청남도,서산시,176079,92117,83962
충청남도 서천군,충청남도,서천군,1,충청남도,서천군,49149,24258,24891
충청남도 천안시,충청남도,천안시,2,충청남도,천안시,656583,336437,320146
충청남도 홍성군,충청남도,홍성군,2,충청남도,홍성군,97477,48687,48790
충청북도 단양군,충청북도,단양군,1,충청북도,단양군,27696,14085,13611
충청북도 영동군,충청북도,영동군,1,충청북도,영동군,44267,22164,22103
충청북도 제천시,충청북도,제천시,1,충청북도,제천시,130508,65607,64901
충청북도 청주시,충청북도,청주시,4,충청북도,청주시,852579,430659,421920
충청북도 충주시,충청북도,충주시,2,충청북도,충주시,207839,105454,102385
